origin_country,q6_b,destination_country,origin_code,origin_region,destination_code,destination_region
Italy,No,Germany,ITA,Europe and Central Asia (WB),DEU,Europe and Central Asia (WB)
Spain,No,Austria,ESP,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
China,No,United Kingdom,CHN,East Asia and Pacific (WB),GBR,Europe and Central Asia (WB)
Nigeria,No,United States,NGA,Sub-Saharan Africa (WB),USA,North America (WB)
Ethiopia,No,Kenya,ETH,Sub-Saharan Africa (WB),KEN,Sub-Saharan Africa (WB)
Hungary,No,Belgium,HUN,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Bangladesh,No,Saudi Arabia,BGD,South Asia (WB),SAU,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
India,No,Austria,IND,South Asia (WB),AUT,Europe and Central Asia (WB)
China,No,France,CHN,East Asia and Pacific (WB),FRA,Europe and Central Asia (WB)
India,No,United Kingdom,IND,South Asia (WB),GBR,Europe and Central Asia (WB)
Pakistan,No,Germany,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
Iran,No,Canada,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
Sri Lanka,No,Canada,LKA,South Asia (WB),CAN,North America (WB)
Ireland,No,United Kingdom,IRL,Europe and Central Asia (WB),GBR,Europe and Central Asia (WB)
Finland,No,Czechia,FIN,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
Colombia,No,United States,COL,Latin America and Caribbean (WB),USA,North America (WB)
Canada,No,Germany,CAN,North America (WB),DEU,Europe and Central Asia (WB)
Luxembourg,No,Austria,LUX,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Germany,No,Norway,DEU,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
Iran,No,United Kingdom,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GBR,Europe and Central Asia (WB)
Spain,No,Austria,ESP,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Sweden,No,Norway,SWE,Europe and Central Asia (WB),NOR,Europe and Central Asia (WB)
India,No,Austria,IND,South Asia (WB),AUT,Europe and Central Asia (WB)
Brazil,No,Portugal,BRA,Latin America and Caribbean (WB),PRT,Europe and Central Asia (WB)
Pakistan,No,Malaysia,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",MYS,East Asia and Pacific (WB)
China,No,Switzerland,CHN,East Asia and Pacific (WB),CHE,Europe and Central Asia (WB)
Kenya,No,South Africa,KEN,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Romania,No,Belgium,ROU,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Iran,No,United States,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Indonesia,No,Australia,IDN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Peru,No,Netherlands,PER,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
Cuba,No,France,CUB,Latin America and Caribbean (WB),FRA,Europe and Central Asia (WB)
India,No,Norway,IND,South Asia (WB),NOR,Europe and Central Asia (WB)
Indonesia,No,Australia,IDN,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
France,No,Canada,FRA,Europe and Central Asia (WB),CAN,North America (WB)
Colombia,No,Canada,COL,Latin America and Caribbean (WB),CAN,North America (WB)
Venezuela,No,Netherlands,VEN,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
United States,No,Japan,USA,North America (WB),JPN,East Asia and Pacific (WB)
United States,No,Iceland,USA,North America (WB),ISL,Europe and Central Asia (WB)
France,No,Belgium,FRA,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Bosnia and Herzegovina,No,Serbia,BIH,Europe and Central Asia (WB),SRB,Europe and Central Asia (WB)
Greece,No,Switzerland,GRC,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
Afghanistan,No,United States,AFG,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Russia,No,Austria,RUS,Europe and Central Asia (WB),AUT,Europe and Central Asia (WB)
Egypt,No,Germany,EGY,"Middle East, North Africa, Afghanistan and Pakistan (WB)",DEU,Europe and Central Asia (WB)
India,No,United States,IND,South Asia (WB),USA,North America (WB)
Pakistan,No,Ghana,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",GHA,Sub-Saharan Africa (WB)
Nigeria,No,China,NGA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Argentina,No,Netherlands,ARG,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
China,No,Germany,CHN,East Asia and Pacific (WB),DEU,Europe and Central Asia (WB)
Ghana,No,China,GHA,Sub-Saharan Africa (WB),CHN,East Asia and Pacific (WB)
Greece,No,Switzerland,GRC,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Iran,No,Canada,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",CAN,North America (WB)
South Africa,No,Canada,ZAF,Sub-Saharan Africa (WB),CAN,North America (WB)
Argentina,No,Norway,ARG,Latin America and Caribbean (WB),NOR,Europe and Central Asia (WB)
Spain,No,Canada,ESP,Europe and Central Asia (WB),CAN,North America (WB)
Zimbabwe,No,South Africa,ZWE,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
Vietnam,No,Thailand,VNM,East Asia and Pacific (WB),THA,East Asia and Pacific (WB)
United Kingdom,No,United States,GBR,Europe and Central Asia (WB),USA,North America (WB)
Turkmenistan,No,United States,TKM,Europe and Central Asia (WB),USA,North America (WB)
Pakistan,No,United States,PAK,"Middle East, North Africa, Afghanistan and Pakistan (WB)",USA,North America (WB)
Malaysia,No,Taiwan,MYS,East Asia and Pacific (WB),TWN,East Asia and Pacific (WB)
India,No,Malaysia,IND,South Asia (WB),MYS,East Asia and Pacific (WB)
New Zealand,No,Australia,NZL,East Asia and Pacific (WB),AUS,East Asia and Pacific (WB)
Italy,No,Czechia,ITA,Europe and Central Asia (WB),CZE,Europe and Central Asia (WB)
France,No,Australia,FRA,Europe and Central Asia (WB),AUS,East Asia and Pacific (WB)
Canada,No,United Kingdom,CAN,North America (WB),GBR,Europe and Central Asia (WB)
Albania,No,Italy,ALB,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Iran,No,Russia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",RUS,Europe and Central Asia (WB)
Namibia,No,United Kingdom,NAM,Sub-Saharan Africa (WB),GBR,Europe and Central Asia (WB)
Germany,No,United States,DEU,Europe and Central Asia (WB),USA,North America (WB)
Spain,No,Belgium,ESP,Europe and Central Asia (WB),BEL,Europe and Central Asia (WB)
Germany,No,Luxembourg,DEU,Europe and Central Asia (WB),LUX,Europe and Central Asia (WB)
Mexico,No,Netherlands,MEX,Latin America and Caribbean (WB),NLD,Europe and Central Asia (WB)
Zimbabwe,No,South Africa,ZWE,Sub-Saharan Africa (WB),ZAF,Sub-Saharan Africa (WB)
United Kingdom,No,Switzerland,GBR,Europe and Central Asia (WB),CHE,Europe and Central Asia (WB)
Argentina,No,New Zealand,ARG,Latin America and Caribbean (WB),NZL,East Asia and Pacific (WB)
United Kingdom,No,South Africa,GBR,Europe and Central Asia (WB),ZAF,Sub-Saharan Africa (WB)
Brazil,No,Spain,BRA,Latin America and Caribbean (WB),ESP,Europe and Central Asia (WB)
Turkey,No,Italy,TUR,Europe and Central Asia (WB),ITA,Europe and Central Asia (WB)
Chile,No,United Kingdom,CHL,Latin America and Caribbean (WB),GBR,Europe and Central Asia (WB)
Iran,No,Australia,IRN,"Middle East, North Africa, Afghanistan and Pakistan (WB)",AUS,East Asia and Pacific (WB)
Vietnam,No,South Korea,VNM,East Asia and Pacific (WB),KOR,East Asia and Pacific (WB)
Bulgaria,No,Spain,BGR,Europe and Central Asia (WB),ESP,Europe and Central Asia (WB)
Iraq,No,India,IRQ,"Middle East, North Africa, Afghanistan and Pakistan (WB)",IND,South Asia (WB)
India,No,Germany,IND,South Asia (WB),DEU,Europe and Central Asia (WB)
India,No,Israel,IND,South Asia (WB),ISR,"Middle East, North Africa, Afghanistan and Pakistan (WB)"
